Protein Name,String 1,String 2,String 3
VFG037176(gb|WP_001081735) (plc1) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],gb|WP_001081735,plc1,VF0470
VFG037177(gb|WP_000632986) (plc2) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],gb|WP_000632986,plc2,VF0470
VFG037203(gb|WP_000079188) (plcD) phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase [Phospholipase D (VF0469) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],gb|WP_000079188,plcD,VF0469
VFG037218(gb|WP_000983821) (basJ) acinetobactin biosynthesis protein BasJ [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000983821,basJ,VF0467
VFG037232(gb|WP_001093095) (basI) phosphopantetheinyl transferase component of acinetobactin biosynthesis protein BasI [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001093095,basI,VF0467
VFG037246(gb|WP_001032906) (basH) non-ribosomal peptide biosynthesis thioesterase BasH [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001032906,basH,VF0467
VFG037260(gb|WP_001095752) (barB) siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001095752,barB,VF0467
VFG037274(gb|WP_001281538) (barA) siderophore efflux system of the ABC superfamily [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001281538,barA,VF0467
VFG037288(gb|WP_000603876) (basG) acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000603876,basG,VF0467
VFG037302(gb|WP_001018264) (basF) aryl carrier protein BasF [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001018264,basF,VF0467
VFG037316(gb|WP_000744381) (entE) non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000744381,entE,VF0467
VFG037330(gb|WP_001177743) (basD) acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_001177743,basD,VF0467
VFG037344(gb|WP_000717759) (basC) acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU],gb|WP_000717759,basC,VF0467
